TRADEDATE,SECID,ISSUE_NAME,SHORTNAME,BOARDID,COUPON_TYPE,ANALYSIS_GROUP,MATURITY_GROUP,PLOT_GROUP,OPEN,HIGH,LOW,CLOSE,WAPRICE,PRICE_FOR_ANALYSIS,CLEAN_PRICE_RUB,DIRTY_PRICE_RUB,PRICE_DEV_FROM_100,PRICE_RETURN,YIELDATWAP,YIELDCLOSE,YIELD_FOR_ANALYSIS,VOLUME,VALUE,NUMTRADES,ACCINT,FACEVALUE,COUPONPERCENT,COUPONVALUE,MATDATE,YEARS_TO_MATURITY,DURATION,CLOSE_IQR_OUTLIER,PRICE_RETURN_IQR_OUTLIER,YIELD_IQR_OUTLIER,YIELD_EXTREME_LEVEL_FLAG,HARD_DATA_ERROR,ANY_OUTLIER_FLAG,OUTLIER_REPLACED_WITH_DAILY_MEDIAN,CLOSE_RAW,WAPRICE_RAW,PRICE_FOR_ANALYSIS_RAW,YIELDATWAP_RAW,YIELDCLOSE_RAW,YIELD_FOR_ANALYSIS_RAW
2023-01-26,SU26242RMFS6,ОФЗ-ПД 26242,ОФЗ 26242,TQOB,fixed,medium_fixed_selected,long,long,96.999,98.972,96.8,97.25,96.943,96.943,972.5,972.75,-2.75,,9.86,9.8,9.86,425045,412332789.22,427,0.25,1000,9.0,55.23,2029-08-29,6.590006844626968,1858.0,False,False,False,False,False,False,False,97.25,96.943,96.943,9.86,9.8,9.86
2023-01-27,SU26242RMFS6,ОФЗ-ПД 26242,ОФЗ 26242,TQOB,fixed,medium_fixed_selected,long,long,97.15,98.97,97.099,98.97,97.149,97.149,989.7,990.19,-1.0300000000000011,0.017686375321336767,9.82,9.42,9.82,501228,486938761.42,317,0.49,1000,9.0,55.23,2029-08-29,6.587268993839836,1858.0,False,False,False,False,False,False,False,98.97,97.149,97.149,9.82,9.42,9.82
2023-01-30,SU26242RMFS6,ОФЗ-ПД 26242,ОФЗ 26242,TQOB,fixed,medium_fixed_selected,long,long,98.95,98.95,97.235,97.502,97.731,97.731,975.02,976.25,-2.4980000000000047,-0.014832777609376624,9.69,9.74,9.69,14620,14288260.37,332,1.23,1000,9.0,55.23,2029-08-29,6.579055441478439,1856.0,False,False,False,False,False,False,False,97.502,97.731,97.731,9.69,9.74,9.69
2023-01-31,SU26242RMFS6,ОФЗ-ПД 26242,ОФЗ 26242,TQOB,fixed,medium_fixed_selected,long,long,98.298,98.501,97.16,98.031,97.296,97.296,980.3100000000001,981.7900000000001,-1.968999999999994,0.0054255297327234775,9.79,9.62,9.79,109003,106055365.29,342,1.48,1000,9.0,55.23,2029-08-29,6.576317590691307,1854.0,False,False,False,False,False,False,False,98.031,97.296,97.296,9.79,9.62,9.79
2023-02-01,SU26242RMFS6,ОФЗ-ПД 26242,ОФЗ 26242,TQOB,fixed,medium_fixed_selected,long,long,98.031,102.253,97.5,99.8,98.746,98.746,998.0,999.73,-0.20000000000000284,0.01804531219716199,9.47,9.24,9.47,13583,13412682.44,296,1.73,1000,9.0,55.23,2029-08-29,6.573579739904175,1858.0,False,False,False,False,False,False,False,99.8,98.746,98.746,9.47,9.24,9.47
2023-02-02,SU26242RMFS6,ОФЗ-ПД 26242,ОФЗ 26242,TQOB,fixed,medium_fixed_selected,long,long,97.3,102.75,97.3,99.001,99.48,99.48,990.0100000000001,991.9800000000001,-0.9989999999999952,-0.008006012024048048,9.31,9.41,9.31,3101,3084862.29,172,1.97,1000,9.0,55.23,2029-08-29,6.570841889117043,1859.0,False,False,False,False,False,False,False,99.001,99.48,99.48,9.31,9.41,9.31
2023-02-03,SU26242RMFS6,ОФЗ-ПД 26242,ОФЗ 26242,TQOB,fixed,medium_fixed_selected,long,long,103.25,103.25,99.5,100.0,100.111,100.111,1000.0,1002.22,0.0,0.01009080716356392,9.17,9.2,9.17,2197,2199436.09,131,2.22,1000,9.0,55.23,2029-08-29,6.568104038329911,1860.0,False,False,False,False,False,False,False,100.0,100.111,100.111,9.17,9.2,9.17
2023-02-06,SU26242RMFS6,ОФЗ-ПД 26242,ОФЗ 26242,TQOB,fixed,medium_fixed_selected,long,long,103.739,104.949,99.0,99.8,99.866,99.866,998.0,1000.96,-0.20000000000000284,-0.0020000000000000018,9.23,9.24,9.23,24858,24824732.32,203,2.96,1000,9.0,55.23,2029-08-29,6.5598904859685145,1856.0,False,False,False,False,False,False,False,99.8,99.866,99.866,9.23,9.24,9.23
2023-02-07,SU26242RMFS6,ОФЗ-ПД 26242,ОФЗ 26242,TQOB,fixed,medium_fixed_selected,long,long,101.898,101.898,98.5,99.0,99.298,99.298,990.0,993.21,-1.0,-0.008016032064128265,9.35,9.41,9.35,231514,229888278.04,398,3.21,1000,9.0,55.23,2029-08-29,6.5571526351813825,1853.0,False,False,False,False,False,False,False,99.0,99.298,99.298,9.35,9.41,9.35
2023-02-08,SU26242RMFS6,ОФЗ-ПД 26242,ОФЗ 26242,TQOB,fixed,medium_fixed_selected,long,long,99.2,99.24,97.007,97.798,97.947,97.947,977.98,981.4300000000001,-2.201999999999998,-0.01214141414141412,9.64,9.68,9.64,2323246,2275008009.92,1333,3.45,1000,9.0,55.23,2029-08-29,6.55441478439425,1848.0,False,False,False,False,False,False,False,97.798,97.947,97.947,9.64,9.68,9.64
