TRADEDATE,SECID,ISSUE_NAME,SHORTNAME,BOARDID,COUPON_TYPE,ANALYSIS_GROUP,MATURITY_GROUP,PLOT_GROUP,OPEN,HIGH,LOW,CLOSE,WAPRICE,PRICE_FOR_ANALYSIS,CLEAN_PRICE_RUB,DIRTY_PRICE_RUB,PRICE_DEV_FROM_100,PRICE_RETURN,YIELDATWAP,YIELDCLOSE,YIELD_FOR_ANALYSIS,VOLUME,VALUE,NUMTRADES,ACCINT,FACEVALUE,COUPONPERCENT,COUPONVALUE,MATDATE,YEARS_TO_MATURITY,DURATION,CLOSE_IQR_OUTLIER,PRICE_RETURN_IQR_OUTLIER,YIELD_IQR_OUTLIER,YIELD_EXTREME_LEVEL_FLAG,HARD_DATA_ERROR,ANY_OUTLIER_FLAG,OUTLIER_REPLACED_WITH_DAILY_MEDIAN,CLOSE_RAW,WAPRICE_RAW,PRICE_FOR_ANALYSIS_RAW,YIELDATWAP_RAW,YIELDCLOSE_RAW,YIELD_FOR_ANALYSIS_RAW
2023-10-05,SU29025RMFS2,ОФЗ-ПК 29025,ОФЗ 29025,TQOB,floating,floating_coupon,long,floating_coupon,96.24,96.419,96.22,96.35,96.235,96.235,963.4999999999999,963.8399999999999,-3.6500000000000057,,0.0,,0.0,661870,637057450.77,207,0.34,1000,0.0,0.0,2037-08-12,13.853524982888432,,False,False,False,False,False,False,False,96.35,96.235,96.235,0.0,,0.0
2023-10-06,SU29025RMFS2,ОФЗ-ПК 29025,ОФЗ 29025,TQOB,floating,floating_coupon,long,floating_coupon,96.44,96.45,96.336,96.45,96.416,96.416,964.5,965.18,-3.549999999999997,0.0010378827192527584,0.0,,0.0,13790,13295759.89,78,0.68,1000,0.0,0.0,2037-08-12,13.850787132101301,,False,False,False,False,False,False,False,96.45,96.416,96.416,0.0,,0.0
2023-10-09,SU29025RMFS2,ОФЗ-ПК 29025,ОФЗ 29025,TQOB,floating,floating_coupon,long,floating_coupon,97.0,97.0,96.4,96.449,96.445,96.445,964.49,966.19,-3.551000000000002,-1.0368066355681549e-05,0.0,,0.0,62148,59938365.16,65,1.7,1000,0.0,0.0,2037-08-12,13.842573579739904,,False,False,False,False,False,False,False,96.449,96.445,96.445,0.0,,0.0
2023-10-10,SU29025RMFS2,ОФЗ-ПК 29025,ОФЗ 29025,TQOB,floating,floating_coupon,long,floating_coupon,96.899,96.899,96.4,96.4,96.407,96.407,964.0000000000001,966.0400000000001,-3.5999999999999943,-0.0005080405188233605,0.0,,0.0,78227,75416045.37,106,2.04,1000,0.0,0.0,2037-08-12,13.839835728952773,,False,False,False,False,False,False,False,96.4,96.407,96.407,0.0,,0.0
2023-10-11,SU29025RMFS2,ОФЗ-ПК 29025,ОФЗ 29025,TQOB,floating,floating_coupon,long,floating_coupon,96.499,96.499,96.35,96.45,96.411,96.411,964.5,966.88,-3.549999999999997,0.0005186721991701226,0.0,,0.0,26846,25882569.5,78,2.38,1000,0.0,0.0,2037-08-12,13.83709787816564,,False,False,False,False,False,False,False,96.45,96.411,96.411,0.0,,0.0
2023-10-12,SU29025RMFS2,ОФЗ-ПК 29025,ОФЗ 29025,TQOB,floating,floating_coupon,long,floating_coupon,96.45,96.6,96.25,96.4,96.446,96.446,964.0000000000001,966.7300000000001,-3.5999999999999943,-0.0005184033177811909,0.0,,0.0,5693,5490696.19,95,2.73,1000,0.0,0.0,2037-08-12,13.834360027378509,,False,False,False,False,False,False,False,96.4,96.446,96.446,0.0,,0.0
2023-10-13,SU29025RMFS2,ОФЗ-ПК 29025,ОФЗ 29025,TQOB,floating,floating_coupon,long,floating_coupon,96.449,96.5,96.399,96.499,96.402,96.402,964.9899999999999,968.06,-3.5010000000000048,0.0010269709543566652,0.0,,0.0,4186,4035403.55,69,3.07,1000,0.0,0.0,2037-08-12,13.831622176591376,,False,False,False,False,False,False,False,96.499,96.402,96.402,0.0,,0.0
2023-10-16,SU29025RMFS2,ОФЗ-ПК 29025,ОФЗ 29025,TQOB,floating,floating_coupon,long,floating_coupon,96.8,96.8,96.246,96.5,96.429,96.429,965.0,969.1,-3.5,1.0362801687202605e-05,0.0,,0.0,105530,101761452.34,62,4.1,1000,0.0,0.0,2037-08-12,13.82340862422998,,False,False,False,False,False,False,False,96.5,96.429,96.429,0.0,,0.0
2023-10-17,SU29025RMFS2,ОФЗ-ПК 29025,ОФЗ 29025,TQOB,floating,floating_coupon,long,floating_coupon,96.649,96.649,96.303,96.5,96.408,96.408,965.0,969.46,-3.5,0.0,0.0,,0.0,17365,16741238.44,61,4.46,1000,0.0,0.0,2037-08-12,13.820670773442847,,False,False,False,False,False,False,False,96.5,96.408,96.408,0.0,,0.0
2023-10-18,SU29025RMFS2,ОФЗ-ПК 29025,ОФЗ 29025,TQOB,floating,floating_coupon,long,floating_coupon,96.7,96.7,96.201,96.498,96.396,96.396,964.98,969.79,-3.5019999999999953,-2.072538860098394e-05,0.0,,0.0,3672,3539655.99,113,4.81,1000,0.0,0.0,2037-08-12,13.817932922655714,,False,False,False,False,False,False,False,96.498,96.396,96.396,0.0,,0.0
