TRADEDATE,SECID,SHORTNAME,COUPON_TYPE,PLOT_GROUP,PRICE_FOR_ANALYSIS,YIELD_FOR_ANALYSIS,RATE_FOR_ANALYSIS,YEARS_TO_MATURITY,VALUE,key_rate,YIELD_KEY_RATE_SPREAD,RATE_KEY_RATE_SPREAD
2023-05-04,SU29024RMFS5,ОФЗ 29024,floating,floating_coupon,96.663,0.0,7.300000000000001,11.956194387405889,2144115.6,7.5,-7.5,-0.1999999999999993
2023-05-05,SU29024RMFS5,ОФЗ 29024,floating,floating_coupon,97.243,0.0,7.300000000000001,11.953456536618754,70014.62,7.5,-7.5,-0.1999999999999993
2023-05-08,SU29024RMFS5,ОФЗ 29024,floating,floating_coupon,97.005,0.0,7.543333333333332,11.94524298425736,384140.04,7.5,-7.5,0.043333333333332114
2023-05-10,SU29024RMFS5,ОФЗ 29024,floating,floating_coupon,97.189,0.0,7.299999999999998,11.939767282683096,285736.9,7.5,-7.5,-0.20000000000000195
2023-05-11,SU29024RMFS5,ОФЗ 29024,floating,floating_coupon,96.949,0.0,6.935000000000007,11.937029431895962,131851.11,7.5,-7.5,-0.5649999999999933
2023-05-12,SU29024RMFS5,ОФЗ 29024,floating,floating_coupon,96.959,0.0,6.934999999999998,11.93429158110883,179373.61,7.5,-7.5,-0.5650000000000022
2023-05-15,SU29024RMFS5,ОФЗ 29024,floating,floating_coupon,96.971,0.0,6.934999999999998,11.926078028747432,6067488.81,7.5,-7.5,-0.5650000000000022
2023-05-16,SU29024RMFS5,ОФЗ 29024,floating,floating_coupon,97.28,0.0,6.934999999999998,11.9233401779603,213042.74,7.5,-7.5,-0.5650000000000022
2023-05-17,SU29024RMFS5,ОФЗ 29024,floating,floating_coupon,97.0,0.0,6.935000000000015,11.92060232717317,135292.14,7.5,-7.5,-0.5649999999999853
2023-05-18,SU29024RMFS5,ОФЗ 29024,floating,floating_coupon,97.097,0.0,6.934999999999998,11.917864476386036,31070.88,7.5,-7.5,-0.5650000000000022
2023-05-19,SU29024RMFS5,ОФЗ 29024,floating,floating_coupon,97.175,0.0,6.934999999999998,11.915126625598903,58305.12,7.5,-7.5,-0.5650000000000022
2023-05-22,SU29024RMFS5,ОФЗ 29024,floating,floating_coupon,97.199,0.0,6.934999999999998,11.906913073237508,516127.98,7.5,-7.5,-0.5650000000000022
2023-05-23,SU29024RMFS5,ОФЗ 29024,floating,floating_coupon,97.45,0.0,7.664999999999998,11.904175222450377,3897.98,7.5,-7.5,0.16499999999999826
2023-05-24,SU29024RMFS5,ОФЗ 29024,floating,floating_coupon,97.479,0.0,6.934999999999998,11.901437371663244,101377.66,7.5,-7.5,-0.5650000000000022
