TRADEDATE,SECID,SHORTNAME,COUPON_TYPE,PLOT_GROUP,PRICE_FOR_ANALYSIS,YIELD_FOR_ANALYSIS,RATE_FOR_ANALYSIS,YEARS_TO_MATURITY,DURATION,VALUE
2016-05-04,SU26207RMFS9,ОФЗ 26207,fixed,long,95.5773,8.99,8.99,10.75154004106776,2610.0,754926881.03
2016-05-05,SU26207RMFS9,ОФЗ 26207,fixed,long,95.6335,8.98,8.98,10.74880219028063,2610.0,113335288.6
2016-05-06,SU26207RMFS9,ОФЗ 26207,fixed,long,95.777,8.95,8.95,10.746064339493495,2610.0,209180474.86
2016-05-10,SU26207RMFS9,ОФЗ 26207,fixed,long,95.7496,8.96,8.96,10.735112936344969,2606.0,26608158.07
2016-05-11,SU26207RMFS9,ОФЗ 26207,fixed,long,96.3739,8.86,8.86,10.732375085557836,2610.0,535147188.88
2016-05-12,SU26207RMFS9,ОФЗ 26207,fixed,long,96.8391,8.79,8.79,10.729637234770705,2612.0,1038837091.66
2016-05-13,SU26207RMFS9,ОФЗ 26207,fixed,long,96.7945,8.8,8.8,10.726899383983572,2611.0,2294354568.35
2016-05-16,SU26207RMFS9,ОФЗ 26207,fixed,long,97.1553,8.74,8.74,10.718685831622176,2611.0,1584469306.95
2016-05-17,SU26207RMFS9,ОФЗ 26207,fixed,long,96.7168,8.81,8.81,10.715947980835043,2606.0,495013587.73
2016-05-18,SU26207RMFS9,ОФЗ 26207,fixed,long,96.5577,8.83,8.83,10.713210130047912,2604.0,534458014.08
2016-05-19,SU26207RMFS9,ОФЗ 26207,fixed,long,95.915,8.93,8.93,10.71047227926078,2598.0,498540422.46
2016-05-20,SU26207RMFS9,ОФЗ 26207,fixed,long,96.5697,8.83,8.83,10.707734428473648,2602.0,1147024395.59
2016-05-23,SU26207RMFS9,ОФЗ 26207,fixed,long,96.3681,8.86,8.86,10.699520876112253,2598.0,281194830.29
2016-05-24,SU26207RMFS9,ОФЗ 26207,fixed,long,96.3094,8.87,8.87,10.69678302532512,2596.0,3289094843.04
2016-05-25,SU26207RMFS9,ОФЗ 26207,fixed,long,96.6823,8.81,8.81,10.694045174537989,2598.0,240199759.62
2016-05-26,SU26207RMFS9,ОФЗ 26207,fixed,long,96.4379,8.85,8.85,10.691307323750856,2595.0,918099022.49
2016-05-27,SU26207RMFS9,ОФЗ 26207,fixed,long,96.3475,8.87,8.87,10.688569472963724,2593.0,318530588.34
2016-05-30,SU26207RMFS9,ОФЗ 26207,fixed,long,96.4898,8.85,8.85,10.680355920602327,2591.0,496570.89
2016-05-31,SU26207RMFS9,ОФЗ 26207,fixed,long,96.3358,8.87,8.87,10.677618069815194,2589.0,49873908.94
2016-06-01,SU26207RMFS9,ОФЗ 26207,fixed,long,95.7195,8.97,8.97,10.674880219028063,2583.0,428458037.33
2016-06-02,SU26207RMFS9,ОФЗ 26207,fixed,long,95.6418,8.98,8.98,10.67214236824093,2582.0,1157510144.99
2016-06-03,SU26207RMFS9,ОФЗ 26207,fixed,long,95.7431,8.96,8.96,10.6694045174538,2582.0,467679448.68
2016-06-06,SU26207RMFS9,ОФЗ 26207,fixed,long,97.2234,8.73,8.73,10.661190965092402,2590.0,981506149.03
2016-06-07,SU26207RMFS9,ОФЗ 26207,fixed,long,97.8052,8.64,8.64,10.65845311430527,2594.0,206574232.24
2016-06-08,SU26207RMFS9,ОФЗ 26207,fixed,long,98.3879,8.56,8.56,10.655715263518138,2596.0,402667488.87
2016-06-09,SU26207RMFS9,ОФЗ 26207,fixed,long,97.5227,8.69,8.69,10.652977412731008,2589.0,566676684.99
2016-06-10,SU26207RMFS9,ОФЗ 26207,fixed,long,97.9927,8.62,8.62,10.650239561943874,2592.0,298705449.49
2016-06-14,SU26207RMFS9,ОФЗ 26207,fixed,long,97.3504,8.71,8.71,10.639288158795344,2583.0,994986580.7
2016-06-15,SU26207RMFS9,ОФЗ 26207,fixed,long,97.3369,8.72,8.72,10.636550308008214,2582.0,1203242619.29
2016-06-16,SU26207RMFS9,ОФЗ 26207,fixed,long,97.3228,8.72,8.72,10.63381245722108,2581.0,89520532.3
2016-06-17,SU26207RMFS9,ОФЗ 26207,fixed,long,97.5759,8.68,8.68,10.63107460643395,2582.0,35858908.5
2016-06-20,SU26207RMFS9,ОФЗ 26207,fixed,long,98.1499,8.59,8.59,10.622861054072551,2583.0,205354803.03
2016-06-21,SU26207RMFS9,ОФЗ 26207,fixed,long,98.0224,8.61,8.61,10.620123203285422,2581.0,29094701.89
2016-06-22,SU26207RMFS9,ОФЗ 26207,fixed,long,98.1213,8.6,8.6,10.617385352498289,2581.0,148535844.75
2016-06-23,SU26207RMFS9,ОФЗ 26207,fixed,long,98.2489,8.58,8.58,10.614647501711156,2581.0,139090551.65
2016-06-24,SU26207RMFS9,ОФЗ 26207,fixed,long,97.3383,8.72,8.72,10.611909650924025,2573.0,1161390544.2
2016-06-27,SU26207RMFS9,ОФЗ 26207,fixed,long,98.4589,8.55,8.55,10.603696098562628,2578.0,1411975592.27
2016-06-28,SU26207RMFS9,ОФЗ 26207,fixed,long,98.961,8.47,8.47,10.600958247775496,2581.0,1399006012.15
2016-06-29,SU26207RMFS9,ОФЗ 26207,fixed,long,99.1531,8.44,8.44,10.598220396988363,2581.0,2376826913.65
2016-06-30,SU26207RMFS9,ОФЗ 26207,fixed,long,99.9128,8.33,8.33,10.595482546201232,2586.0,1288929545.85
2016-07-01,SU26207RMFS9,ОФЗ 26207,fixed,long,100.6091,8.22,8.22,10.5927446954141,2590.0,4386049699.09
2016-07-04,SU26207RMFS9,ОФЗ 26207,fixed,long,100.4082,8.25,8.25,10.584531143052704,2586.0,441430741.29
2016-07-05,SU26207RMFS9,ОФЗ 26207,fixed,long,99.6865,8.36,8.36,10.581793292265573,2579.0,1336877405.12
2016-07-06,SU26207RMFS9,ОФЗ 26207,fixed,long,99.4135,8.4,8.4,10.57905544147844,2576.0,748015590.57
2016-07-07,SU26207RMFS9,ОФЗ 26207,fixed,long,99.7606,8.35,8.35,10.576317590691309,2578.0,161265268.69
2016-07-08,SU26207RMFS9,ОФЗ 26207,fixed,long,99.6539,8.37,8.37,10.573579739904176,2576.0,262896181.96
2016-07-11,SU26207RMFS9,ОФЗ 26207,fixed,long,99.4519,8.4,8.4,10.56536618754278,2571.0,434417261.15
2016-07-12,SU26207RMFS9,ОФЗ 26207,fixed,long,99.9086,8.33,8.33,10.562628336755647,2574.0,224659403.85
2016-07-13,SU26207RMFS9,ОФЗ 26207,fixed,long,99.5719,8.38,8.38,10.559890485968516,2570.0,655863971.87
2016-07-14,SU26207RMFS9,ОФЗ 26207,fixed,long,99.5159,8.39,8.39,10.557152635181383,2569.0,127253814.64
2016-07-15,SU26207RMFS9,ОФЗ 26207,fixed,long,99.4149,8.4,8.4,10.55441478439425,2567.0,23778684.96
2016-07-18,SU26207RMFS9,ОФЗ 26207,fixed,long,98.8275,8.49,8.49,10.546201232032857,2560.0,182330263.78
2016-07-19,SU26207RMFS9,ОФЗ 26207,fixed,long,98.7359,8.51,8.51,10.543463381245722,2558.0,358584709.33
2016-07-20,SU26207RMFS9,ОФЗ 26207,fixed,long,98.7218,8.51,8.51,10.54072553045859,2557.0,210338634.13
2016-07-21,SU26207RMFS9,ОФЗ 26207,fixed,long,98.555,8.53,8.53,10.537987679671458,2555.0,28898524.99
2016-07-22,SU26207RMFS9,ОФЗ 26207,fixed,long,98.0012,8.62,8.62,10.535249828884323,2550.0,1406964748.75
2016-07-25,SU26207RMFS9,ОФЗ 26207,fixed,long,97.9303,8.63,8.63,10.52703627652293,2546.0,277253992.84
2016-07-26,SU26207RMFS9,ОФЗ 26207,fixed,long,97.5873,8.68,8.68,10.524298425735797,2543.0,1337499589.61
2016-07-27,SU26207RMFS9,ОФЗ 26207,fixed,long,97.9721,8.62,8.62,10.521560574948666,2545.0,158199818.51
2016-07-28,SU26207RMFS9,ОФЗ 26207,fixed,long,98.1295,8.6,8.6,10.518822724161533,2545.0,1017451020.97
