TRADEDATE,SECID,SHORTNAME,COUPON_TYPE,PLOT_GROUP,PRICE_FOR_ANALYSIS,ACCINT,FLOATING_COUPON_RATE_EST,RATE_FOR_ANALYSIS,YEARS_TO_MATURITY,VALUE
2023-05-04,SU29024RMFS5,ОФЗ 29024,floating,floating_coupon,96.663,0.19,7.300000000000001,7.300000000000001,11.956194387405889,2144115.6
2023-05-05,SU29024RMFS5,ОФЗ 29024,floating,floating_coupon,97.243,0.39,7.300000000000001,7.300000000000001,11.953456536618754,70014.62
2023-05-08,SU29024RMFS5,ОФЗ 29024,floating,floating_coupon,97.005,1.01,7.543333333333332,7.543333333333332,11.94524298425736,384140.04
2023-05-10,SU29024RMFS5,ОФЗ 29024,floating,floating_coupon,97.189,1.41,7.299999999999998,7.299999999999998,11.939767282683096,285736.9
2023-05-11,SU29024RMFS5,ОФЗ 29024,floating,floating_coupon,96.949,1.6,6.935000000000007,6.935000000000007,11.937029431895962,131851.11
2023-05-12,SU29024RMFS5,ОФЗ 29024,floating,floating_coupon,96.959,1.79,6.934999999999998,6.934999999999998,11.93429158110883,179373.61
2023-05-15,SU29024RMFS5,ОФЗ 29024,floating,floating_coupon,96.971,2.36,6.934999999999998,6.934999999999998,11.926078028747432,6067488.81
2023-05-16,SU29024RMFS5,ОФЗ 29024,floating,floating_coupon,97.28,2.55,6.934999999999998,6.934999999999998,11.9233401779603,213042.74
2023-05-17,SU29024RMFS5,ОФЗ 29024,floating,floating_coupon,97.0,2.74,6.935000000000015,6.935000000000015,11.92060232717317,135292.14
2023-05-18,SU29024RMFS5,ОФЗ 29024,floating,floating_coupon,97.097,2.93,6.934999999999998,6.934999999999998,11.917864476386036,31070.88
2023-05-19,SU29024RMFS5,ОФЗ 29024,floating,floating_coupon,97.175,3.12,6.934999999999998,6.934999999999998,11.915126625598903,58305.12
2023-05-22,SU29024RMFS5,ОФЗ 29024,floating,floating_coupon,97.199,3.69,6.934999999999998,6.934999999999998,11.906913073237508,516127.98
2023-05-23,SU29024RMFS5,ОФЗ 29024,floating,floating_coupon,97.45,3.9,7.664999999999998,7.664999999999998,11.904175222450377,3897.98
2023-05-24,SU29024RMFS5,ОФЗ 29024,floating,floating_coupon,97.479,4.09,6.934999999999998,6.934999999999998,11.901437371663244,101377.66
