SECID,ISSUE_NAME,COUPON_TYPE,ANALYSIS_GROUP,date_min,date_max,rows,close_na,yield_na,yield_coverage,close_mean,close_min,close_max,yield_mean,yield_min,yield_max,volume_mean,value_mean
SU26207RMFS9,ОФЗ-ПД 26207,fixed,short_fixed_selected,2016-05-04,2026-04-30,2531,15,0,1.0,99.62243008744038,79.023,117.988,9.731351244567369,5.04,21.67,420680.77755827736,419215465.71597
SU26219RMFS4,ОФЗ-ПД 26219,fixed,short_fixed_selected,2016-07-06,2026-04-30,2488,16,0,1.0,98.43925182038835,78.7,114.951,9.74745176848875,5.0,21.88,274000.4155948553,267788199.94750804
SU26226RMFS9,ОФЗ-ПД 26226,fixed,short_fixed_selected,2019-02-06,2026-04-30,1832,15,0,1.0,98.5741689598239,78.9,116.166,10.396015283842798,4.99,21.83,315522.73307860264,310457745.1772489
SU26232RMFS7,ОФЗ-ПД 26232,fixed,medium_fixed_selected,2019-12-11,2026-04-30,1617,15,0,1.0,88.61191760299624,68.8,105.15,10.848181818181825,5.18,20.95,257013.83302411874,233395848.0632715
SU26236RMFS8,ОФЗ-ПД 26236,fixed,medium_fixed_selected,2020-11-25,2026-04-30,1379,15,0,1.0,83.10033651026393,65.85,100.625,11.733364757070342,5.66,20.53,307678.67005076143,262751936.35402468
SU26238RMFS4,ОФЗ-ПД 26238,fixed,long_fixed_selected,2021-06-23,2026-04-30,1234,15,0,1.0,68.22258818703857,48.528,100.998,12.107471636952997,7.19,16.65,1194103.4910858995,718222678.2705024
SU26240RMFS0,ОФЗ-ПД 26240,fixed,long_fixed_selected,2021-06-30,2026-04-30,1229,26,11,0.9910496338486574,70.2380689941812,50.584,99.89,12.356280788177337,7.16,17.36,455236.97152156226,314911091.0785598
SU26242RMFS6,ОФЗ-ПД 26242,fixed,medium_fixed_selected,2023-01-25,2026-04-30,830,1,1,0.9987951807228915,85.5359517490953,69.239,100.0,13.880072376357052,9.17,20.01,367976.07469879516,312445723.0349518
SU26243RMFS4,ОФЗ-ПД 26243,fixed,long_fixed_selected,2023-06-21,2026-04-30,730,1,1,0.9986301369863013,76.15575308641975,62.6,101.299,14.402427983539104,9.86,17.65,905668.4835616439,667070800.9101644
SU29024RMFS5,ОФЗ-ПК 29024,floating,floating_coupon,2023-05-03,2026-04-30,763,1,1,0.9986893840104849,96.12080314960629,91.829,99.069,0.0,0.0,0.0,87641.25688073394,84666284.78154653
SU29025RMFS2,ОФЗ-ПК 29025,floating,floating_coupon,2023-10-04,2026-04-30,655,1,1,0.9984732824427481,95.55936697247706,91.504,99.992,0.0,0.0,0.0,58539.90229007634,55538493.78445801
SU29026RMFS0,ОФЗ-ПК 29026,floating,floating_coupon,2024-12-04,2026-04-30,356,1,1,0.9971910112359551,96.7763943661972,94.8,103.89,0.0,0.0,0.0,12676.808988764045,12185469.363202248
