TRADEDATE,SECID,ISSUE_NAME,SHORTNAME,BOARDID,COUPON_TYPE,ANALYSIS_GROUP,MATURITY_GROUP,OPEN,HIGH,LOW,CLOSE,WAPRICE,CLEAN_PRICE_RUB,DIRTY_PRICE_RUB,PRICE_DEV_FROM_100,PRICE_RETURN,YIELDATWAP,YIELDCLOSE,YIELD,VOLUME,VALUE,NUMTRADES,ACCINT,FACEVALUE,COUPONPERCENT,COUPONVALUE,MATDATE,YEARS_TO_MATURITY,DURATION,BONDTYPE,BONDSUBTYPE
2021-06-30,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,,,,,,,,,,,,,0,0.0,0,0.0,1000,7,44.3,2036-07-30,15.082819986310746,,,
2021-07-01,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,,,,,,,,,,,,,0,0.0,0,0.19,1000,7,44.3,2036-07-30,15.080082135523615,,,
2021-07-02,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,,,,,,,,,,,,,0,0.0,0,0.38,1000,7,44.3,2036-07-30,15.077344284736482,,,
2021-07-05,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,,,,,,,,,,,,,0,0.0,0,0.96,1000,7,44.3,2036-07-30,15.069130732375086,,,
2021-07-06,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,,,,,,,,,,,,,0,0.0,0,1.15,1000,7,44.3,2036-07-30,15.066392881587953,,,
2021-07-07,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,,,,,,,,,,,,,0,0.0,0,1.34,1000,7,44.3,2036-07-30,15.063655030800822,,,
2021-07-08,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,,,,,,,,,,,,,0,0.0,0,1.53,1000,7,44.3,2036-07-30,15.06091718001369,,,
2021-07-09,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,,,,,,,,,,,,,0,0.0,0,1.73,1000,7,44.3,2036-07-30,15.058179329226558,,,
2021-07-12,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,,,,,,,,,,,,,0,0.0,0,2.3,1000,7,44.3,2036-07-30,15.049965776865161,,,
2021-07-13,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,,,,,,,,,,,,,0,0.0,0,2.49,1000,7,44.3,2036-07-30,15.047227926078028,,,
2021-07-14,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,,,,,,,,,,,,,0,0.0,0,2.68,1000,7,44.3,2036-07-30,15.044490075290897,,,
2021-07-15,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,97.999,97.999,97.412,97.412,97.417,974.1200000000001,977.0000000000001,-2.587999999999994,,7.41,7.42,7.41,101187,98573326.44,20,2.88,1000,7,44.3,2036-07-30,15.041752224503764,3445.0,,
2021-07-16,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,98.999,98.999,97.599,97.599,97.8,975.99,979.0600000000001,-2.4009999999999962,0.0019196813534265722,7.37,7.39,7.37,1111,1086556.7,35,3.07,1000,7,44.3,2036-07-30,15.039014373716633,3448.0,,
2021-07-19,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,98.999,98.999,97.41,97.549,97.414,975.4900000000001,979.1300000000001,-2.4509999999999934,-0.0005123003309459584,7.41,7.4,7.41,100397,97798266.54,33,3.64,1000,7,44.3,2036-07-30,15.030800821355236,3441.0,,
2021-07-20,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,97.55,98.47,97.458,98.438,97.46,984.38,988.22,-1.5619999999999976,0.009113368666003652,7.41,7.3,7.41,54805,53413199.72,23,3.84,1000,7,44.3,2036-07-30,15.028062970568104,3440.0,,
2021-07-21,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,98.6,98.6,97.461,98.399,98.071,983.99,988.02,-1.600999999999999,-0.00039618846380462536,7.34,7.3,7.34,576,564890.75,20,4.03,1000,7,44.3,2036-07-30,15.025325119780971,3446.0,,
2021-07-22,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,98.6,98.999,98.6,98.999,98.769,989.9899999999999,994.2099999999999,-1.0010000000000048,0.0060976229433225,7.26,7.23,7.26,2502,2471188.94,12,4.22,1000,7,44.3,2036-07-30,15.02258726899384,3453.0,,
2021-07-23,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,98.999,99.955,98.999,99.89,99.615,998.9,1003.31,-0.10999999999999943,0.009000090910009195,7.16,7.13,7.16,38019,37872623.58,42,4.41,1000,7,44.3,2036-07-30,15.019849418206707,3461.0,,
2021-07-26,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,100.249,100.249,99.249,99.249,99.258,992.49,997.48,-0.7510000000000048,-0.006417058764641159,7.2,7.2,7.2,1330,1323438.3,31,4.99,1000,7,44.3,2036-07-30,15.011635865845312,3454.0,,
2021-07-27,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,99.25,100.199,99.0,99.249,99.092,992.49,997.67,-0.7510000000000048,0.0,7.22,7.2,7.22,567754,562599496.13,230,5.18,1000,7,44.3,2036-07-30,15.008898015058179,3451.0,,
2021-07-28,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,99.998,99.998,99.005,99.2,99.174,992.0,997.37,-0.7999999999999972,-0.0004937077451661054,7.21,7.21,7.21,668485,663022529.34,105,5.37,1000,7,44.3,2036-07-30,15.006160164271048,3451.0,,
2021-07-29,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,99.4,100.2,99.35,99.4,99.422,994.0000000000001,999.5600000000001,-0.5999999999999943,0.002016129032258007,7.18,7.19,7.18,236889,235469507.5,96,5.56,1000,7,44.3,2036-07-30,15.003422313483915,3453.0,,
2021-07-30,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,100.2,100.2,98.399,99.6,99.504,996.0,1001.75,-0.4000000000000057,0.002012072434607548,7.17,7.16,7.17,313994,312456552.95,95,5.75,1000,7,44.3,2036-07-30,15.000684462696784,3453.0,,
2021-08-02,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,100.2,100.999,99.3,99.4,99.597,994.0000000000001,1000.3300000000002,-0.5999999999999943,-0.00200803212851397,7.16,7.19,7.16,5761,5729016.71,86,6.33,1000,7,44.3,2036-07-30,14.992470910335387,3451.0,,
2021-08-03,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,99.4,99.4,99.2,99.2,99.33,992.0,998.52,-0.7999999999999972,-0.002012072434607659,7.19,7.21,7.19,123796,122965961.7,74,6.52,1000,7,44.3,2036-07-30,14.989733059548255,3447.0,,
2021-08-04,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,99.2,100.199,99.05,99.399,99.198,993.99,1000.7,-0.6009999999999991,0.002006048387096726,7.21,7.19,7.21,94096,93341796.53,71,6.71,1000,7,44.3,2036-07-30,14.986995208761122,3444.0,,
2021-08-05,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,99.548,99.548,99.0,99.443,99.39,994.43,1001.3299999999999,-0.5570000000000022,0.00044266038893758797,7.19,7.18,7.19,700489,696214493.11,77,6.9,1000,7,44.3,2036-07-30,14.984257357973991,3445.0,,
2021-08-06,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,100.2,100.2,99.001,99.4,99.415,994.0000000000001,1001.1000000000001,-0.5999999999999943,-0.0004324085154309154,7.18,7.19,7.18,67534,67139114.81,58,7.1,1000,7,44.3,2036-07-30,14.981519507186858,3445.0,,
2021-08-09,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,100.999,100.999,98.5,98.5,98.642,985.0,992.67,-1.5,-0.00905432595573441,7.27,7.29,7.27,122892,121222759.14,142,7.67,1000,7,44.3,2036-07-30,14.973305954825461,3434.0,,
2021-08-10,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,99.995,99.995,98.249,98.25,98.432,982.5,990.36,-1.75,-0.0025380710659898,7.3,7.32,7.3,145727,143441966.78,196,7.86,1000,7,44.3,2036-07-30,14.97056810403833,3430.0,,
2021-08-11,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,99.3,99.855,97.9,97.99,97.986,979.9,987.9499999999999,-2.010000000000005,-0.0026463104325700204,7.35,7.35,7.35,2001374,1960633539.98,397,8.05,1000,7,44.3,2036-07-30,14.967830253251197,3424.0,,
2021-08-12,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,99.2,99.2,97.95,98.1,98.038,981.0,989.25,-1.9000000000000057,0.001122563526890552,7.34,7.34,7.34,4356609,4271082193.01,676,8.25,1000,7,44.3,2036-07-30,14.965092402464066,3424.0,,
2021-08-13,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,98.1,98.6,97.972,98.499,98.248,984.9899999999999,993.43,-1.5010000000000048,0.004067278287461784,7.32,7.29,7.32,1147227,1126942853.9,212,8.44,1000,7,44.3,2036-07-30,14.962354551676933,3425.0,,
2021-08-16,SU26240RMFS0,ОФЗ-ПД 26240,ОФЗ 26240,TQOB,fixed,long_fixed_selected,long,99.0,99.2,98.2,98.74,98.579,987.4,996.41,-1.2600000000000051,0.0024467253474653727,7.28,7.26,7.28,483311,476169709.62,187,9.01,1000,7,44.3,2036-07-30,14.954140999315538,3426.0,,
