TRADEDATE,SECID,ISSUE_NAME,SHORTNAME,BOARDID,COUPON_TYPE,ANALYSIS_GROUP,MATURITY_GROUP,OPEN,HIGH,LOW,CLOSE,WAPRICE,CLEAN_PRICE_RUB,DIRTY_PRICE_RUB,PRICE_DEV_FROM_100,PRICE_RETURN,YIELDATWAP,YIELDCLOSE,YIELD,VOLUME,VALUE,NUMTRADES,ACCINT,FACEVALUE,COUPONPERCENT,COUPONVALUE,MATDATE,YEARS_TO_MATURITY,DURATION,BONDTYPE,BONDSUBTYPE
2023-05-03,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,,,,,,,,,,,,,0,0.0,0,0.0,1000,0.0,0.0,2035-04-18,11.958932238193018,,,
2023-05-04,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.0,97.347,96.7,97.25,96.663,972.5,972.69,-2.75,,0.0,,0.0,2215,2144115.6,65,0.19,1000,0.0,0.0,2035-04-18,11.956194387405887,,,
2023-05-05,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.25,97.25,97.189,97.25,97.243,972.5,972.89,-2.75,0.0,0.0,,0.0,72,70014.62,15,0.39,1000,0.0,0.0,2035-04-18,11.953456536618754,,,
2023-05-08,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.33,97.34,96.955,97.299,97.005,972.99,974.0,-2.7009999999999934,0.0005038560411312343,0.0,,0.0,396,384140.04,39,1.01,1000,0.0,0.0,2035-04-18,11.945242984257359,,,
2023-05-10,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.23,97.23,97.05,97.18,97.189,971.8000000000001,973.21,-2.819999999999993,-0.0012230341524578359,0.0,,0.0,294,285736.9,18,1.41,1000,0.0,0.0,2035-04-18,11.939767282683095,,,
2023-05-11,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.219,97.219,96.708,97.0,96.949,970.0,971.6,-3.0,-0.001852232969746903,0.0,,0.0,136,131851.11,25,1.6,1000,0.0,0.0,2035-04-18,11.937029431895962,,,
2023-05-12,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.0,97.098,96.8,97.098,96.959,970.9799999999999,972.7699999999999,-2.902000000000001,0.0010103092783504408,0.0,,0.0,185,179373.61,23,1.79,1000,0.0,0.0,2035-04-18,11.93429158110883,,,
2023-05-15,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.19,97.19,96.786,97.185,96.971,971.85,974.21,-2.8149999999999977,0.0008960019773835981,0.0,,0.0,6257,6067488.81,32,2.36,1000,0.0,0.0,2035-04-18,11.926078028747433,,,
2023-05-16,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.49,97.499,97.0,97.247,97.28,972.4699999999999,975.0199999999999,-2.753,0.0006379585326954373,0.0,,0.0,219,213042.74,18,2.55,1000,0.0,0.0,2035-04-18,11.9233401779603,,,
2023-05-17,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.7,97.7,96.95,97.696,97.0,976.9599999999999,979.6999999999999,-2.304000000000002,0.004617109011074927,0.0,,0.0,139,135292.14,15,2.74,1000,0.0,0.0,2035-04-18,11.92060232717317,,,
2023-05-18,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.099,97.5,96.955,97.008,97.097,970.0799999999999,973.0099999999999,-2.9920000000000044,-0.007042253521126751,0.0,,0.0,32,31070.88,15,2.93,1000,0.0,0.0,2035-04-18,11.917864476386036,,,
2023-05-19,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.199,97.228,96.962,96.962,97.175,969.62,972.74,-3.0379999999999967,-0.00047418769586005105,0.0,,0.0,60,58305.12,8,3.12,1000,0.0,0.0,2035-04-18,11.915126625598905,,,
2023-05-22,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.498,97.498,97.001,97.199,97.199,971.99,975.6800000000001,-2.801000000000002,0.002444256512860621,0.0,,0.0,531,516127.98,10,3.69,1000,0.0,0.0,2035-04-18,11.906913073237508,,,
2023-05-23,SU29024RMFS5,ОФЗ-ПК 29024,ОФЗ 29024,TQOB,floating,floating_coupon,floating_coupon,97.699,97.699,97.2,97.2,97.45,972.0,975.9,-2.799999999999997,1.0288171689021297e-05,0.0,,0.0,4,3897.98,3,3.9,1000,0.0,0.0,2035-04-18,11.904175222450377,,,
