SECID,ISSUE_NAME,COUPON_TYPE,ANALYSIS_GROUP,observations,date_min,date_max,avg_price,avg_yield,total_value
SU26207RMFS9,ОФЗ-ПД 26207,fixed,short_fixed_selected,2516,2016-05-04,2026-04-30,99.59604852941176,9.715262321144673,1061034343727.12
SU26219RMFS4,ОФЗ-ПД 26219,fixed,short_fixed_selected,2472,2016-07-06,2026-04-30,98.41528187702266,9.733794498381876,666257041469.4
SU26226RMFS9,ОФЗ-ПД 26226,fixed,short_fixed_selected,1817,2019-02-06,2026-04-30,98.51364116675839,10.381364887176664,568758589164.72
SU26232RMFS7,ОФЗ-ПД 26232,fixed,medium_fixed_selected,1602,2019-12-11,2026-04-30,88.56811017478151,10.829606741573032,377401086318.31
SU26236RMFS8,ОФЗ-ПД 26236,fixed,medium_fixed_selected,1364,2020-11-25,2026-04-30,83.03120784457478,11.722903225806451,362334920232.2
SU26238RMFS4,ОФЗ-ПД 26238,fixed,long_fixed_selected,1219,2021-06-23,2026-04-30,68.19103896636587,12.118187038556194,886286784985.8
SU26240RMFS0,ОФЗ-ПД 26240,fixed,long_fixed_selected,1203,2021-07-15,2026-04-30,70.18109185369909,12.366201163757275,387025730935.55
SU26242RMFS6,ОФЗ-ПД 26242,fixed,medium_fixed_selected,829,2023-01-26,2026-04-30,85.45935886610374,13.880072376357056,259329950119.01
SU26243RMFS4,ОФЗ-ПД 26243,fixed,long_fixed_selected,729,2023-06-22,2026-04-30,76.00297393689986,14.402427983539095,486961684664.42
SU29024RMFS5,ОФЗ-ПК 29024,floating,floating_coupon,762,2023-05-04,2026-04-30,96.0650997375328,0.0,64600375288.32
SU29025RMFS2,ОФЗ-ПК 29025,floating,floating_coupon,654,2023-10-05,2026-04-30,95.52721636085627,0.0,36377713428.82
SU29026RMFS0,ОФЗ-ПК 29026,floating,floating_coupon,355,2024-12-05,2026-04-30,96.66917746478873,0.0,4338027093.3
