file_type,rows,columns,path
daily_all_bonds_with_key_rate,15522,13,/Users/daniilsestov/Desktop/курсач для гита/ofz_git_notebooks_daily_only/data/processed/ofz_for_datalens_daily_2016_2026.csv
daily_fixed_only,13751,11,/Users/daniilsestov/Desktop/курсач для гита/ofz_git_notebooks_daily_only/data/processed/fixed_datalens/ofz_fixed_for_datalens_daily_2016_2026.csv
daily_floating_only,1771,11,/Users/daniilsestov/Desktop/курсач для гита/ofz_git_notebooks_daily_only/data/processed/floating_datalens/ofz_floating_for_datalens_daily_2016_2026.csv
daily_fixed_with_key_rate,13751,14,/Users/daniilsestov/Desktop/курсач для гита/ofz_git_notebooks_daily_only/data/processed/fixed_datalens/ofz_fixed_with_key_rate_for_datalens.csv
daily_floating_with_key_rate,1771,14,/Users/daniilsestov/Desktop/курсач для гита/ofz_git_notebooks_daily_only/data/processed/floating_datalens/ofz_floating_with_key_rate_for_datalens.csv
daily_single_bond_with_key_rate,2516,13,/Users/daniilsestov/Desktop/курсач для гита/ofz_git_notebooks_daily_only/data/processed/by_bond_datalens_daily/ОФЗ_26207_SU26207RMFS9_datalens_daily_2016_2026.csv
daily_single_bond_with_key_rate,2472,13,/Users/daniilsestov/Desktop/курсач для гита/ofz_git_notebooks_daily_only/data/processed/by_bond_datalens_daily/ОФЗ_26219_SU26219RMFS4_datalens_daily_2016_2026.csv
daily_single_bond_with_key_rate,1817,13,/Users/daniilsestov/Desktop/курсач для гита/ofz_git_notebooks_daily_only/data/processed/by_bond_datalens_daily/ОФЗ_26226_SU26226RMFS9_datalens_daily_2016_2026.csv
daily_single_bond_with_key_rate,1602,13,/Users/daniilsestov/Desktop/курсач для гита/ofz_git_notebooks_daily_only/data/processed/by_bond_datalens_daily/ОФЗ_26232_SU26232RMFS7_datalens_daily_2016_2026.csv
daily_single_bond_with_key_rate,1364,13,/Users/daniilsestov/Desktop/курсач для гита/ofz_git_notebooks_daily_only/data/processed/by_bond_datalens_daily/ОФЗ_26236_SU26236RMFS8_datalens_daily_2016_2026.csv
daily_single_bond_with_key_rate,1219,13,/Users/daniilsestov/Desktop/курсач для гита/ofz_git_notebooks_daily_only/data/processed/by_bond_datalens_daily/ОФЗ_26238_SU26238RMFS4_datalens_daily_2016_2026.csv
daily_single_bond_with_key_rate,1203,13,/Users/daniilsestov/Desktop/курсач для гита/ofz_git_notebooks_daily_only/data/processed/by_bond_datalens_daily/ОФЗ_26240_SU26240RMFS0_datalens_daily_2016_2026.csv
daily_single_bond_with_key_rate,829,13,/Users/daniilsestov/Desktop/курсач для гита/ofz_git_notebooks_daily_only/data/processed/by_bond_datalens_daily/ОФЗ_26242_SU26242RMFS6_datalens_daily_2016_2026.csv
daily_single_bond_with_key_rate,729,13,/Users/daniilsestov/Desktop/курсач для гита/ofz_git_notebooks_daily_only/data/processed/by_bond_datalens_daily/ОФЗ_26243_SU26243RMFS4_datalens_daily_2016_2026.csv
daily_single_bond_with_key_rate,762,13,/Users/daniilsestov/Desktop/курсач для гита/ofz_git_notebooks_daily_only/data/processed/by_bond_datalens_daily/ОФЗ_29024_SU29024RMFS5_datalens_daily_2016_2026.csv
daily_single_bond_with_key_rate,654,13,/Users/daniilsestov/Desktop/курсач для гита/ofz_git_notebooks_daily_only/data/processed/by_bond_datalens_daily/ОФЗ_29025_SU29025RMFS2_datalens_daily_2016_2026.csv
daily_single_bond_with_key_rate,355,13,/Users/daniilsestov/Desktop/курсач для гита/ofz_git_notebooks_daily_only/data/processed/by_bond_datalens_daily/ОФЗ_29026_SU29026RMFS0_datalens_daily_2016_2026.csv
