SECID,ISSUE_NAME,COUPON_TYPE,ANALYSIS_GROUP,date_min,date_max,rows,close_na,yield_na,yield_coverage,close_mean,close_min,close_max,yield_mean,yield_min,yield_max,volume_mean,value_mean,numtrades_mean,outlier_rows
SU26207RMFS9,ОФЗ-ПД 26207,fixed,short_fixed_selected,2016-05-04,2026-04-30,2516,0,0,1.0,99.60723453895072,78.9,117.988,9.715262321144673,5.04,21.67,423188.8108108108,421714763.00759935,738.8493640699523,27
SU26219RMFS4,ОФЗ-ПД 26219,fixed,short_fixed_selected,2016-07-06,2026-04-30,2472,0,0,1.0,98.43779085760518,78.9,114.951,9.733794498381876,5.0,21.88,275773.88106796116,269521456.9050971,519.0999190938511,25
SU26226RMFS9,ОФЗ-ПД 26226,fixed,short_fixed_selected,2019-02-06,2026-04-30,1817,0,0,1.0,98.56491964777105,78.9,116.166,10.381364887176664,4.99,21.83,318127.4887176665,313020687.4874628,653.2234452394056,27
SU26232RMFS7,ОФЗ-ПД 26232,fixed,medium_fixed_selected,2019-12-11,2026-04-30,1602,0,0,1.0,88.6310911360799,63.62,110.014,10.829606741573032,5.18,20.95,259420.32958801498,235581202.4458864,527.5,20
SU26236RMFS8,ОФЗ-ПД 26236,fixed,medium_fixed_selected,2020-11-25,2026-04-30,1364,0,0,1.0,83.10025843108505,63.62,100.625,11.722903225806451,5.66,20.53,311062.2331378299,265641437.12038124,509.7983870967742,10
SU26238RMFS4,ОФЗ-ПД 26238,fixed,long_fixed_selected,2021-06-23,2026-04-30,1219,0,0,1.0,68.25712428219853,48.528,100.998,12.118187038556194,7.19,16.65,1208797.13535685,727060529.1105825,9230.154224774406,13
SU26240RMFS0,ОФЗ-ПД 26240,fixed,long_fixed_selected,2021-07-15,2026-04-30,1203,0,0,1.0,70.25791147132169,50.584,99.89,12.366201163757275,7.16,17.36,465075.84206151287,321717149.57236075,2472.173732335827,16
SU26242RMFS6,ОФЗ-ПД 26242,fixed,medium_fixed_selected,2023-01-26,2026-04-30,829,0,0,1.0,85.54360856453559,69.239,100.0,13.880072376357056,9.17,20.01,368419.95416164055,312822617.75513875,1799.5174909529553,2
SU26243RMFS4,ОФЗ-ПД 26243,fixed,long_fixed_selected,2023-06-22,2026-04-30,729,0,0,1.0,76.08074417009603,53.498,101.299,14.402427983539095,9.86,17.65,906910.8271604938,667985850.0197805,5275.393689986283,5
SU29024RMFS5,ОФЗ-ПК 29024,floating,floating_coupon,2023-05-04,2026-04-30,762,0,0,1.0,96.12080314960629,91.829,99.069,0.0,0.0,0.0,87756.27165354331,84777395.39149606,310.93700787401576,0
SU29025RMFS2,ОФЗ-ПК 29025,floating,floating_coupon,2023-10-05,2026-04-30,654,0,0,1.0,95.55838532110091,91.504,99.495,0.0,0.0,0.0,58629.4128440367,55623415.02877676,348.9938837920489,1
SU29026RMFS0,ОФЗ-ПК 29026,floating,floating_coupon,2024-12-05,2026-04-30,355,0,0,1.0,96.70945633802818,93.488,100.464,0.0,0.0,0.0,12712.518309859155,12219794.629014084,238.32676056338028,4
