column,missing_share,missing_count
YIELDCLOSE_RAW,0.11409612163381008,1771
YIELDCLOSE,0.11409612163381008,1771
DURATION,0.11409612163381008,1771
COUPONPERCENT,0.03311428939569643,514
COUPONVALUE,0.03311428939569643,514
PRICE_RETURN,0.0007730962504831851,12
TRADEDATE,0.0,0
PRICE_RETURN_IQR_OUTLIER,0.0,0
FACEVALUE,0.0,0
MATDATE,0.0,0
YEARS_TO_MATURITY,0.0,0
CLOSE_IQR_OUTLIER,0.0,0
YIELD_IQR_OUTLIER,0.0,0
NUMTRADES,0.0,0
YIELD_EXTREME_LEVEL_FLAG,0.0,0
HARD_DATA_ERROR,0.0,0
ANY_OUTLIER_FLAG,0.0,0
OUTLIER_REPLACED_WITH_DAILY_MEDIAN,0.0,0
CLOSE_RAW,0.0,0
WAPRICE_RAW,0.0,0
PRICE_FOR_ANALYSIS_RAW,0.0,0
YIELDATWAP_RAW,0.0,0
ACCINT,0.0,0
VOLUME,0.0,0
VALUE,0.0,0
HIGH,0.0,0
ISSUE_NAME,0.0,0
SHORTNAME,0.0,0
BOARDID,0.0,0
COUPON_TYPE,0.0,0
ANALYSIS_GROUP,0.0,0
MATURITY_GROUP,0.0,0
PLOT_GROUP,0.0,0
OPEN,0.0,0
LOW,0.0,0
SECID,0.0,0
CLOSE,0.0,0
WAPRICE,0.0,0
PRICE_FOR_ANALYSIS,0.0,0
CLEAN_PRICE_RUB,0.0,0
DIRTY_PRICE_RUB,0.0,0
PRICE_DEV_FROM_100,0.0,0
YIELDATWAP,0.0,0
YIELD_FOR_ANALYSIS,0.0,0
YIELD_FOR_ANALYSIS_RAW,0.0,0
