TRADEDATE,SECID,ISSUE_NAME,SHORTNAME,BOARDID,COUPON_TYPE,ANALYSIS_GROUP,MATURITY_GROUP,PLOT_GROUP,OPEN,HIGH,LOW,CLOSE,WAPRICE,PRICE_FOR_ANALYSIS,CLEAN_PRICE_RUB,DIRTY_PRICE_RUB,PRICE_DEV_FROM_100,PRICE_RETURN,YIELDATWAP,YIELDCLOSE,YIELD_FOR_ANALYSIS,VOLUME,VALUE,NUMTRADES,ACCINT,FACEVALUE,COUPONPERCENT,COUPONVALUE,MATDATE,YEARS_TO_MATURITY,DURATION,CLOSE_IQR_OUTLIER,PRICE_RETURN_IQR_OUTLIER,YIELD_IQR_OUTLIER,YIELD_EXTREME_LEVEL_FLAG,HARD_DATA_ERROR,ANY_OUTLIER_FLAG,OUTLIER_REPLACED_WITH_DAILY_MEDIAN,CLOSE_RAW,WAPRICE_RAW,PRICE_FOR_ANALYSIS_RAW,YIELDATWAP_RAW,YIELDCLOSE_RAW,YIELD_FOR_ANALYSIS_RAW
2018-04-10,SU26207RMFS9,ОФЗ-ПД 26207,ОФЗ 26207,TQOB,fixed,short_fixed_selected,long,long,107.09,107.09,104.57,103.375,103.92699999999999,103.92699999999999,1033.75,1046.03,3.375,-0.03171570142655089,7.47,7.56,7.47,4519626,4751192832.7,1022,12.28,1000,8.15,40.64,2027-02-03,8.818617385352498,2356.0,False,True,False,False,False,True,True,104.65,105.224,105.224,7.47,7.56,7.47
2018-11-14,SU26207RMFS9,ОФЗ-ПД 26207,ОФЗ 26207,TQOB,fixed,short_fixed_selected,long,long,95.906,98.0,95.756,96.6225,95.9625,95.9625,966.225,986.5450000000001,-3.3774999999999977,0.0054475072581401385,8.85,8.72,8.85,2368734,2299307570.0,652,20.32,1000,8.15,40.64,2027-02-03,8.2217659137577,2188.0,False,True,False,False,False,True,True,97.753,96.996,96.996,8.85,8.72,8.85
2020-03-10,SU26207RMFS9,ОФЗ-ПД 26207,ОФЗ 26207,TQOB,fixed,short_fixed_selected,long,long,108.0,109.899,106.11,106.1345,105.74600000000001,105.74600000000001,1061.345,1067.375,6.134500000000003,-0.04555305755395689,6.86,6.82,6.86,6027705,6485208992.83,947,6.03,1000,8.15,40.64,2027-02-03,6.9021218343600275,1989.0,False,True,False,False,False,True,True,107.853,107.655,107.655,6.86,6.82,6.86
2020-03-12,SU26207RMFS9,ОФЗ-ПД 26207,ОФЗ 26207,TQOB,fixed,short_fixed_selected,long,long,106.13,106.13,102.0,100.8155,101.814,101.814,1008.1549999999999,1014.6349999999999,0.8155000000000001,-0.05257494596372514,7.63,7.85,7.63,2177768,2262512597.21,990,6.48,1000,8.15,40.64,2027-02-03,6.896646132785763,1974.0,False,True,False,False,False,True,True,102.35,103.477,103.477,7.63,7.85,7.63
2020-03-13,SU26207RMFS9,ОФЗ-ПД 26207,ОФЗ 26207,TQOB,fixed,short_fixed_selected,long,long,102.304,104.879,102.304,101.91,101.616,101.616,1019.0999999999999,1025.8,1.9099999999999966,0.01085646552365449,7.49,7.46,7.49,1149698,1199675251.87,627,6.7,1000,8.15,40.64,2027-02-03,6.893908281998631,1976.0,False,True,False,False,False,True,True,104.41,104.232,104.232,7.49,7.46,7.49
2020-03-16,SU26207RMFS9,ОФЗ-ПД 26207,ОФЗ 26207,TQOB,fixed,short_fixed_selected,long,long,107.437,107.437,102.4,100.78999999999999,100.0395,100.0395,1007.9,1015.27,0.789999999999992,-0.010990089294475536,7.8,7.81,7.8,1314397,1349047164.58,659,7.37,1000,8.15,40.64,2027-02-03,6.885694729637235,1968.0,False,True,False,False,False,True,True,102.55,102.603,102.603,7.8,7.81,7.8
2020-03-18,SU26207RMFS9,ОФЗ-ПД 26207,ОФЗ 26207,TQOB,fixed,short_fixed_selected,long,long,103.795,103.795,100.5,98.4445,99.265,99.265,984.445,992.2650000000001,-1.555499999999995,-0.04614512581510932,8.07,8.18,8.07,806938,815814295.64,771,7.82,1000,8.15,40.64,2027-02-03,6.880219028062971,1961.0,False,True,False,False,False,True,True,100.689,101.214,101.214,8.07,8.18,8.07
2020-03-20,SU26207RMFS9,ОФЗ-ПД 26207,ОФЗ 26207,TQOB,fixed,short_fixed_selected,long,long,102.161,105.338,102.161,102.674,102.4445,102.4445,1026.74,1035.0,2.6740000000000066,0.00492311908467169,7.44,7.44,7.44,932126,971453556.64,553,8.26,1000,8.15,40.64,2027-02-03,6.874743326488707,1969.0,False,True,False,False,False,True,True,104.5,104.47,104.47,7.44,7.44,7.44
2020-03-24,SU26207RMFS9,ОФЗ-ПД 26207,ОФЗ 26207,TQOB,fixed,short_fixed_selected,long,long,104.351,107.795,104.351,105.3665,104.913,104.913,1053.665,1062.825,5.366500000000002,0.004427942269928042,6.9,6.9,6.9,308398,331101675.11,304,9.16,1000,8.15,40.64,2027-02-03,6.863791923340178,1974.0,False,True,False,False,False,True,True,107.4,107.409,107.409,6.9,6.9,6.9
2020-03-30,SU26207RMFS9,ОФЗ-ПД 26207,ОФЗ 26207,TQOB,fixed,short_fixed_selected,long,long,107.709,108.358,106.52,105.804,105.6045,105.6045,1058.0400000000002,1068.5300000000002,5.804000000000002,-0.00663781205697056,6.83,6.72,6.83,70483,75916544.47,243,10.49,1000,8.15,40.64,2027-02-03,6.847364818617385,1969.0,False,True,False,False,False,True,True,108.345,107.739,107.739,6.83,6.72,6.83
2020-04-17,SU26207RMFS9,ОФЗ-ПД 26207,ОФЗ 26207,TQOB,fixed,short_fixed_selected,long,long,110.024,112.244,109.809,110.014,109.02199999999999,109.02199999999999,1100.1399999999999,1114.6499999999999,10.013999999999996,0.0003091471176577265,6.1,6.02,6.1,90990,101816389.47,242,14.51,1000,8.15,40.64,2027-02-03,6.798083504449007,1963.0,False,True,False,False,False,True,True,112.244,111.799,111.799,6.1,6.02,6.1
2022-01-13,SU26207RMFS9,ОФЗ-ПД 26207,ОФЗ 26207,TQOB,fixed,short_fixed_selected,long,long,98.152,98.537,96.13,85.87,86.7,86.7,858.7,893.3100000000001,-14.129999999999995,-0.1252928593256596,9.02,9.26,9.02,701295,681510226.15,3144,34.61,1000,8.15,40.64,2027-02-03,5.0568104038329915,1492.0,False,True,False,False,False,True,True,96.4,97.294,97.294,9.02,9.26,9.02
2022-02-11,SU26207RMFS9,ОФЗ-ПД 26207,ОФЗ 26207,TQOB,fixed,short_fixed_selected,medium,medium,96.297,96.297,93.401,93.297,94.082,94.082,932.9699999999999,933.42,-6.703000000000003,-0.023272613065326575,9.61,10.05,9.61,464876,437180743.04,4446,0.45,1000,8.15,40.64,2027-02-03,4.97741273100616,1521.0,False,True,False,False,False,True,True,93.59,95.169,95.169,9.61,10.05,9.61
2022-02-21,SU26207RMFS9,ОФЗ-ПД 26207,ОФЗ 26207,TQOB,fixed,short_fixed_selected,medium,medium,93.4,93.793,90.0,90.331,91.635,91.635,903.3100000000001,905.99,-9.668999999999997,-0.03205032039604805,10.67,10.92,10.67,517791,473702618.69,4786,2.68,1000,8.15,40.64,2027-02-03,4.950034223134839,1504.0,False,True,False,False,False,True,True,90.626,91.452,91.452,10.67,10.92,10.67
